Company,Industry,Country,About their services or products,People in AT*not up to date,"Comments, tips, limitations etc.",Themes,Axel's input
Accor,Hospitality,France,"Because we take care of millions of guests and each of our hotels is a world in itself, where every action counts. We strive to make positive impact both locally and globally, to ensure hospitality benefits not only the few, but all.",30+,,,
Air France-KLM,Airlines and Aviation,France,"The leading group in terms of intercontinental traffic on departure from Europe, Air France-KLM is a major global air transport player. Its main businesses are passenger transportation, cargo transportation and aeronautical maintenance.",30+,,,
Air Liquide,Chemical Manufacturing,France,"A world leader in gases, technologies and services for Industry and Health. The Group develops solutions contributing to climate and the energy transition—particularly with hydrogen—and takes action to progress in areas of healthcare, digital and high technologies. ",70+,,,
AkzoNobel,Chemical Manufacturing,Netherlands,"By using the transformative power of paints and coatings, we can deliver the sustainable and innovative solutions that our customers, communities – and the planet – are increasingly relying on. ",70+,,,
ABN AMRO,IT Services and IT Consulting,Netherlands,"ABN AMRO Bank N.V. is the third-largest Dutch bank, with headquarters in Amsterdam.",,Consultancy risk.,,
Alibaba,Software Development,China,Alibaba Group’s mission is to make it easy to do business anywhere. The company aims to build the future infrastructure of commerce.,70,Consultancy risk?,,
Arla Foods,Food and Beverage Manufacturing,Denmark,"We aim to create the future of dairy, to bring healthy and sustainable dairy products to people across the world and to lead the transition towards sustainable dairy farming and production.",50+,,"Sustainability, ecosystems, collaboration with public partners",
Allianz,Financial Services,Germany,The Allianz Group is one of the world's leading insurers and asset managers with more than 100 million private and corporate customers in more than 70 countries.,110+,Consultancy risk?,,
Alstom,Rail Transportation,France,"Alstom develops and markets mobility solutions that provide sustainable foundations for the future of transportation. From high-speed trains, metros, monorails, trams, to turnkey systems, services, infrastructure, signalling and digital mobility",40+,,sustainability,
American Express,Financial Services,USA,"Now, as a globally integrated payments company, we work together to provide customers with access to products, insights and world-class experiences that enrich lives and build business success.",80+,,,
Asics,Retail,Japan,ASICS Group was founded with the intention to contribute for society by fostering young people through sports.,8,,,
Baker Hughes,Oil and Gas,USA,"Baker Hughes is an energy technology company that provides solutions for energy and industrial customers worldwide. Our innovative technologies and services are taking energy forward – making it safer, cleaner and more efficient for people and the planet. ",40+,We don't want them for sustainability,,
Barclays,Financial Services,UK,"Our businesses include consumer banking and payments operations around the world, as well as a top-tier, full service, global corporate and investment bank, all of which are supported by our service company which provides technology, operations and functional services across the Group.",60+,,,
Barilla,Food and Beverage Manufacturing,Italy,"World leader for pasta, leader for ready-made sauces in Europe, for bakery products in Italy and for crispbreads in Scandinavia.",30+,,,
Barry Callebaut,Food and Beverage Manufacturing,Switzerland,"World’s leading manufacturer of high-quality chocolate and cocoa products – from sourcing and processing cocoa beans to producing the finest chocolates, including chocolate fillings, decorations and compounds.",20+,,,
BBC,Broadcast Media Production and Distribution,UK,"The BBC is the world’s leading public service broadcaster. TV, radio, digital services and World Service Television.",10+,,,
BNP Paribas,Financial Services,France,"The Group helps all its clients (individuals, community associations, entrepreneurs, SMEs, corporates and institutional clients) to realise their projects through solutions spanning financing, investment, savings and protection insurance. ",90+,,,
Boeing,Aviation & Aerospace,USA,"We are the world’s largest aerospace company and leading provider of commercial airplanes, defense, space and security systems, and global services. ",100+,,,
Booking.com,"Technology, Information and Internet",Netherlands,"We’ve always been pioneers, on a mission to shape the future of travel through cutting edge technology, to make it easier for everyone to enjoy amazing experiences wherever they go.",50+,,,
BP,Oil and Gas,UK,"The energy mix is shifting towards lower carbon sources, driven by technological advances and growing environmental concerns. In bp, we will help drive this transition - and our business will be transformed by it.",160+,,,
Burberry,Luxury Goods & Jewelry,UK,"Thomas Burberry invented the innovative rain-ready fabric gabardine to protect explorers from the elements. In doing so, he created the foundation for the iconic Burberry trench coat, which remains core to the business even today.",30,,,
Bupa,Hospitals and Health Care,UK,"Bupa's purpose is helping people live longer, healthier, happier lives and making a better world.",8,,,
Chanel,Luxury Goods & Jewelry,UK,"CHANEL offers a broad range of high-end creations, including Ready-to-Wear, Leather Goods, Fashion Accessories, Eyewear, Fragrances, Makeup, Skincare, Jewelry and Watches.",20+,,,
Cisco,Software Development,USA,"Cisco hardware, software, and service offerings are used to create the Internet solutions that make networks possible--providing easy access to information anywhere, at any time. ",80+,Consultancy risk. We don't want them for digital topics. ,,
Citi,Financial Services,USA,"Citi's mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Our core activities are safeguarding assets, lending money, making payments and accessing the capital markets on behalf of our clients.",90+,,,
Cognizant,IT Services and IT Consulting,USA,"Cognizant engineers modern businesses. We help our clients modernize technology, reimagine processes and transform experiences so they can stay ahead in our fast-changing world.",10+,Consultancy risk,,
Coty,Personal Care Product Manufacturing,Netherlands,"For over a century, our brands have been empowering people to express themselves and create their own vision of beauty. It’s a legacy we’re proud to own and grow. We work hand-in-hand with our people, our partners and our customers. ",50+,,co-creatin with customers,
DB Schenker,"Transportation, Logistics, Supply Chain and Storage",Germany,"DB Schenker is one of the world’s leading global logistics provider — we support industry and trade in the global exchange of goods through land transport, worldwide air and ocean freight, contract logistics and supply chain management.",20+,,,
DHL,"Transportation, Logistics, Supply Chain and Storage",Germany,"With specialized solutions for growth markets and industries including technology, life sciences and healthcare, engineering, manufacturing & energy, auto-mobility and retail, DHL is decisively positioned as “The logistics company for the world”.",80+,,,
Deutsche Telekom,Telecommunications,Germany,"As a leading company in communication and information technology, we are very successfully shaping the digital world of tomorrow with innovative solutions for private and business customers.",190+,Consultancy risk,,
Diageo,Food and Beverage Manufacturing,UK,"We're a global leader in premium drinks, across spirits and beer.",10+,,,
Dow,Chemical Manufacturing,USA,"Dow's portfolio of plastics, industrial intermediates, coatings and silicones businesses delivers a broad range of differentiated, science-based products and solutions for its customers in high-growth market segments, such as packaging, infrastructure, mobility and consumer applications.",50+,,,
Dell,IT Services and IT Consulting,USA,We provide the essential infrastructure for organizations to transform their digital futures,90+,Consultancy risk,Digital transformation,
Dyson,"Appliances, Electrical, and Electronics Manufacturing",Singapore,At Dyson we are focused on solving the problems that others have ignored; solving them first using our technology and ingenuity. In order to achieve this we need to pioneer technologies that are different and authentic. ,50+,Not allowed to speak in public,,
eBay,"Technology, Information and Internet",USA,"We exist to enable economic opportunity for individuals, entrepreneurs, businesses and organizations of all sizes.",60+,,servitization,
Eni,Oil and Gas,Italy,"Eni S.p.A., acronym for and formerly legally known as Ente nazionale idrocarburi, is an Italian multinational energy company headquartered in Rome. It is considered one of the ""supermajor"" oil companies in the world, with a market capitalization of €50 billion, as of 31 December 2023.",,,,
Estee Lauder,Personal Care Product Manufacturing,USA,"The Estée Lauder Companies Inc. is one of the world’s leading manufacturers and marketers of quality skin care, makeup, fragrance and hair care products. ",90+,,,
Expedia,"Technology, Information and Internet",USA,"Driven by the core belief that travel is a force for good, we help people experience the world in new ways and build lasting connections. We provide industry-leading technology solutions to fuel partner growth and success, while facilitating memorable experiences for travelers.",70+,,,
Equinor,Oil and Gas,Norway,"Developing oil, gas, wind and solar energy, growing force in renewables. We sell crude oil and are a major supplier of natural gas, with activities in processing, refining, and trading.",50,We don't want them for sustainability,,
Grundfos,Industrial Machinery Manufacturing,Denmark,"Pumps are our business. Every day, our energy efficient pumps provide comfort, deliver drinking water, remove wastewater, or help farmers water their crops all over the world. ",90,,Sustainability,
ExxonMobil,Oil and Gas,USA,The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels.,10+,We don't want them for sustainability,,
Ferrero,Food and Beverage Manufacturing,Luxembourg,"Some of the world’s most iconic confectionery products come from Ferrero, including Nutella®, Tic Tac®, Ferrero Rocher®, and Kinder Surprise®.",30+,,,
Fujitsu,IT Services and IT Consulting,Japan,"Fujitsu is the leading Japanese global information and communication technology company, offering a wide range of technology products, solutions and services. ",60+,Consultancy risk,,
Hewlett-Packard,IT Services and IT Consulting,USA,,90+,Consultancy risk,,
Hitachi,Electrical Equipment Manufacturing,Japan,"We work to apply our expertise in information technology (IT), operational technology (OT), and a wide variety of products to advance social infrastructure systems and improve quality of life across the world. Hitachi’s Social Innovation Business is centered around 5 growth sectors: Mobility, Smart Life, Industry, Energy, and IT.",60,,,
HSBC,Financial Services,UK,"We're a financial services organisation that serves more than 40 million customers, ranging from individual savers and investors to some of the world’s biggest companies and governments.",60+,,,
Huawei,Telecommunications,China,"Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. With integrated solutions across four key domains – telecom networks, IT, smart devices, and cloud services – we are committed to bringing digital to every person, home and organization for a fully connected, intelligent world.",120+,Consultancy risk,,
Hugo Boss,Retail,Germany,,20+,,,
IBM,IT Services and IT Consulting,USA,"We create as technologists, developers, and engineers. We create with our partners. We create with our competitors. If you're searching for ways to make the world work better through technology and infrastructure, software and consulting, then we want to work with you.",180+,Consultancy risk,,
ING,Financial Services,Netherlands,ING is a pioneer in digital banking and on the forefront being one of the most innovative banks in the world.,70+,,,
Intel,"Technology, Information and Internet",USA,"By pushing forward in fields like AI, analytics and cloud-to-edge technology, Intel’s work is at the heart of countless innovations. From major breakthroughs like self-driving cars and rebuilding the coral reefs, to things that make everyday life better like blockbuster effects and improved shopping experiences — they’re all powered by Intel technology.",140+,,,
Intuit,Software Development,USA,Intuit is a global technology platform that helps our customers and communities overcome their most important financial challenges.,30+,,,
Kellogg,Food and Beverage Manufacturing,USA,Kellogg Company is the world’s leading producer of cereal and a leader in snacks production.,40+,,,
Kraft Heinz,Food and Beverage Manufacturing,USA,"The Kraft Heinz Company is one of the largest food and beverage companies in the world. These beloved products include condiments and sauces, cheese and dairy, meals, meats, refreshment beverages, coffee, infant and nutrition products.",50+,,,
Kuehne + Nagel,"Transportation, Logistics, Supply Chain and Storage",Switzerland,"It operates in sea logistics, air logistics, road logistics and contract logistics, with a clear focus on integrated logistics solutions.",10+,,,
Lamborghini,Motor Vehicle Manufacturing,Italy,"We have revolutionized the automotive, design and engineering fields in ways that were previously unimaginable. We have spent more than half a century creating and perfecting the ultimate Super Sports Car.",4,,,
Levi Strauss & Co.,Retail,USA,We pioneered labor and environmental guidelines in manufacturing. And we work to build sustainability into everything we do. ,10+,,,
LinkedIn,Software Development,USA,"LinkedIn is the world's largest professional network. The company has a diversified business model with revenue coming from Talent Solutions, Marketing Solutions, Sales Solutions and Premium Subscriptions products.",70,,,
LG Electronics,Computers and Electronics Manufacturing,South Korea,"Put simply, we offer the latest innovations to make “Life Good” – from home appliances, consumer electronics and B2B solutions to innovations in digital signage, air conditioning, solar and vehicle components.",20+,,,
Lufthansa,Airlines and Aviation,Germany,"As an industry innovator, we have long been committed to environmental care and sustainability, operating one of the most technologically-advanced and fuel-efficient fleets in the world. Our long-haul fleet includes the Boeing 747-8 and the Airbus A350-900, which are some of the most environmentally-friendly passenger aircraft in the aviation industry.",50,,,
Maersk,"Transportation, Logistics, Supply Chain and Storage",Denmark,"ALL THE WAY is our commitment to connect the world so that everyone has both the possibility and the ability to trade, grow and thrive.",90+,,,
Mastercard,IT Services and IT Consulting,USA,"Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential.",130+,Consultancy risk,,
Mclaren Automotive,Motor Vehicle Manufacturing,UK,,10+,,,
Merck Group,Pharmaceutical Manufacturing,Germany,"We are Merck, a vibrant science and technology company. In Healthcare, we discover unique ways to treat the most challenging diseases. Our Life Science experts empower scientists by developing tools and solutions that help deliver breakthroughs more quickly. And in Electronics, we develop science that sits inside technologies and changes the way we access, store, process, and display information.",110+,,,
Michelin,Motor Vehicle Manufacturing,France,"Michelin, the leading tire company, is dedicated to sustainably improving the mobility of goods and people by manufacturing and marketing tires and services for every type of vehicle, including airplanes, automobiles, bicycles/motorcycles, earthmovers, farm equipment and trucks. It also offers digital mobility support services and publishes travel guides, hotel and restaurant guides, maps and road atlases.",100+,,,
Mitsubishi,International Trade and Development,Japan,"Mitsubishi Corporation (MC) is Japan's largest general trading company. MC has long been engaged in business with customers around the world in virtually every industry, including energy, metals, machinery, chemicals, food and general merchandise.",20,Consultancy risk?,,
Mondelez International,Food and Beverage Manufacturing,USA,"Mondelēz Internationa is an American multinational confectionery, food, and beverage company. We’re leading the future of snacking with iconic brands such as Oreo, belVita and LU biscuits; Cadbury Dairy Milk, Milka and Toblerone chocolate",60+,,,
Nokia,Telecommunications,Finland,"At Nokia, we create technology that helps the world act together. As a B2B technology innovation leader, we are pioneering the future where networks meet cloud to realize the full potential of digital in every industry. Through networks that sense, think and act, we work with our customers and partners to create the digital services and applications of the future. ",190+,Consultancy risk?,,
Nordea,Financial Services,Finland,"We are a full-service universal bank and the third largest corporation in the Nordic region and one of the top 10 financial services companies in Europe. We're continuously working to become your future digital bank by improving the products and services we offer, such as new online banking platforms, mobile payments and analytics tools.",20+,,,
Novo Nordisk,Pharmaceutical Manufacturing,Denmark,"Our purpose is to drive change to defeat diabetes and other serious chronic diseases such as obesity and rare blood and endocrine disorders. We do so by pioneering scientific breakthroughs, expanding access to our medicines, and working to prevent and ultimately cure disease.",100+,,,
Novozymes,Biotechnology Research,Denmark,Novozymes is the world leader in biosolutions.,30+,,,
Oracle,IT Services and IT Consulting,USA,"We’re a cloud technology company that provides organizations around the world with computing infrastructure and software to help them innovate, unlock efficiencies and become more effective. We also created the world’s first – and only – autonomous database to help organize and secure our customers’ data.",80+,Consultancy risk,,
Orange,Telecommunications,France,"French multinational telecommunications company. It has 266 million customers worldwide and employs about 89,000 people or more in France and 59,000 people worldwide. In 2023, the group had a revenue of approximately €43 billion.",,Consultancy risk,,
Orange,Telecommunications,France,"Orange is one of the world’s leading telecommunications operators. Orange is also a leading provider of global IT and telecommunication services to multinational companies, under the brand Orange Business Services.",60+,Consultancy risk,,
Panasonic,"Appliances, Electrical, and Electronics Manufacturing",Japan,"Home Appliances, Business Solutions, Automotive, Industrial Equipment, Housing, Manufacturing, Engineering, Artificial Intelligence, Internet of Things, Virtual Reality, Audio Video Solutions, Energy Savings and Environment, Food Service Systems,",20+,,,
Pandora,"Technology, Information and Internet",USA,,20+,,,
Paypal,"Technology, Information and Internet",USA,"We're championing possibilities for all by making money fast, easy, and more enjoyable.",50,,,
Puma,Retail,Germany,"Through innovative design, iconic footwear and apparel, and authentic partnerships, we aim to always push what’s next in both sport and culture. ",10,,,
Salesforce,Software Development,USA,,110+,Consultancy risk,,
Sanofi,Pharmaceutical Manufacturing,France,"We provide potentially life-changing treatment options and life-saving vaccine protection to millions of people globally, while putting sustainability and social responsibility at the center of our ambitions.",120+,,,
SAP,Software Development,Germany,"SAP is committed to helping every customer become a best-run business. We engineer solutions to fuel innovation, foster equality, and spread opportunity across borders and cultures.",150+,Consultancy risk,,
Sony,Entertainment Providers,Japan,"We create groundbreaking technology, entertainment, and services for people worldwide. We operate in many different industries - from movies and music to video games and electronics",80+,,,
Sony Mobile,Telecommunications,Japan,"Sony Mobile draws upon leading international innovation in engineering and designing audio, video, gaming, and communications to bring more to the everyday experience of life. We create smartphones, tablets, and accessories that enhance memories.",10+,,,
Shell,Oil and Gas,UK,We work together to power progress through more and cleaner energy solutions.,200+,We don't want them for sustainability,,
Solvay,Chemical Manufacturing,Belgium,"Solvay is a science company. The Group's innovative solutions contribute to safer, cleaner, and more sustainable products found in homes, food and consumer goods, planes, cars, batteries, smart devices, health care applications, water and air purification systems.",90+,,,
Swarovski,Retail Luxury Goods and Jewelry,Switzerland,"the company designs, manufactures and sells the world's finest crystal, gemstones, Swarovski Created Diamonds and zirconia, jewelry, and accessories, as well as crystal objects and home accessories.",30+,,,
Toshiba,"Appliances, Electrical, and Electronics Manufacturing",Japan,"Today, our business domains center on energy, social infrastructure, electronic devices and digital solutions, all essential supports for modern life and society.",10+,,,
TotalEnergies,Oil and Gas,France,,60+,We don't want them for sustainability,,
Vestas,Renewable Energy Equipment Manufacturing,Denmark,"Vestas is the energy industry’s global partner on sustainable energy solutions. We design, manufacture, install, and service wind turbines across the globe. We use data to interpret, forecast, and exploit wind resources and deliver best-in-class wind power solutions.",40+,We don't want them for sustainability,,
Virgin,Venture Capital and Private Equity Principals,UK,"We have interests spanning travel & leisure, health & wellness, music & entertainment, telecoms & media, financial services and space. Each of those individual Virgin businesses has its own ways of working, but we are all united by a shared culture and purpose. ​",50+,Consultancy risk?,,
Virgin Media,Telecommunications,UK,We’re in the process of growing all parts of our business so we can connect more customers to the things and to the people they care about. We’ve been recognised year after year for providing the fastest widely available broadband speeds.,20+,Consultancy risk?,,
Visa,IT Services and IT Consulting,USA,"Visa is a world leader in digital payments, facilitating transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories.",80+,Consultancy risk,,
Vodafone,Telecommunications,UK,,130+,,,
