company,type
LyondellBasell,Category B
Air Liquide,Category B
Avery Dennison,Category B
Canon,Category B
General Mills,Category B
Leonardo,Category B
Novartis,Category B
Omya International,Category B
Zurich Insurance,Category B
EDF,Category B
JTI,Category B
BD Medical,Category B
Carrier,Category B
Dematic,Category B
Erste Group,Category B
Essity,Category B
Holcim,Category B
Merck Group,Category B
Siemens Energy,Category B
Solventum,Category B
AB InBev,Category B
Acceleron Industries,Category B
Achmea,Category B
AkzoNobel,Category B
Allianz,Category B
Allstate,Category B
Alstom,Category B
Amcor,Category B
Andritz,Category B
Anglo American,Category B
Aptar,Category B
ArcelorMittal,Category B
Asia Pulp & Paper,Category B
AstraZeneca,Category B
AXA,Category B
Barilla,Category B
Bayer,Category B
Beckhoff Automation,Category B
Boehringer Ingelheim,Category B
Borealis,Category B
Buhler Group,Category B
Cargill,Category B
Carl Zeiss,Category B
Coloplast,Category B
Damen Shipyards Group,Category B
Danfoss,Category B
Danske Bank,Category B
Deutsche Bahn,Category B
Deutsche Post DHL,Category B
Distell,Category B
Draeger,Category B
E.ON,Category B
Ecco,Category B
Emmi Group,Category B
Evotec,Category B
GE Vernova,Category B
Genentech,Category B
Generali Assicurazioni,Category B
Gestamp,Category B
Grainger,Category B
Haleon,Category B
Hilti,Category B
Hitachi Energy,Category B
Honeywell,Category B
Hugo Boss,Category B
Husqvarna,Category B
ING,Category B
International Flavors & Fragrances,Category B
Ipsen,Category B
Johnson Matthey,Category B
Kenvue,Category B
Klabin,Category B
Kone,Category B
Konica Minolta,Category B
Leica Microsystems,Category B
Linde Group,Category B
Lloyds Bank,Category B
Lufthansa,Category B
Mahindra Group,Category B
MTU Aero Engines,Category B
Novonesis,Category B
Olympus,Category B
Orion Engineered Carbons,Category B
Owens Corning,Category B
Pfizer,Category B
Renolit,Category B
REWE,Category B
Roche,Category B
Roche Diagnostics,Category B
Rockwell Automation,Category B
RWE,Category B
Scandinavian Airlines System SAS,Category B
Schunk,Category B
SICPA,Category B
Sky,Category B
Stahl,Category B
Swiss Re,Category B
Syensqo,Category B
Tate & Lyle,Category B
Telefonica,Category B
Telenet,Category B
Telia Company,Category B
Tencent,Category B
Tesco,Category B
Thermo Fisher Scientific,Category B
Thyssenkrupp,Category B
Ubisoft,Category B
UBS,Category B
Under Armour,Category B
Veolia,Category B
Vodafone,Category B
Yum! Brands,Category B
Zumtobel,Category B
Accor,Category B
Air France-KLM,Category B
Air Liquide,Category B
AkzoNobel,Category B
ABN AMRO,Category B
Alibaba,Category B
Arla Foods,Category B
Allianz,Category B
Alstom,Category B
American Express,Category B
Asics,Category B
Baker Hughes,Category B
Barclays,Category B
Barilla,Category B
Barry Callebaut,Category B
BBC,Category B
BNP Paribas,Category B
Boeing,Category B
Booking.com,Category B
BP,Category B
Burberry,Category B
Bupa,Category B
Chanel,Category B
Cisco,Category B
Citi,Category B
Cognizant,Category B
Coty,Category B
DB Schenker,Category B
DHL,Category B
Deutsche Telekom,Category B
Diageo,Category B
Dow,Category B
Dell,Category B
Dyson,Category B
eBay,Category B
Eni,Category B
Estee Lauder,Category B
Expedia,Category B
Equinor,Category B
Grundfos,Category B
ExxonMobil,Category B
Ferrero,Category B
Fujitsu,Category B
Hewlett-Packard,Category B
Hitachi,Category B
HSBC,Category B
Huawei,Category B
Hugo Boss,Category B
IBM,Category B
ING,Category B
Intel,Category B
Intuit,Category B
Kellogg,Category B
Kraft Heinz,Category B
Kuehne + Nagel,Category B
Lamborghini,Category B
Levi Strauss & Co.,Category B
LinkedIn,Category B
LG Electronics,Category B
Lufthansa,Category B
Maersk,Category B
Mastercard,Category B
Mclaren Automotive,Category B
Merck Group,Category B
Michelin,Category B
Mitsubishi,Category B
Mondelez International,Category B
Nokia,Category B
Nordea,Category B
Novo Nordisk,Category B
Novozymes,Category B
Oracle,Category B
Orange,Category B
Orange,Category B
Panasonic,Category B
Pandora,Category B
Paypal,Category B
Puma,Category B
Salesforce,Category B
Sanofi,Category B
SAP,Category B
Sony,Category B
Sony Mobile,Category B
Shell,Category B
Solvay,Category B
Swarovski,Category B
Toshiba,Category B
TotalEnergies,Category B
Vestas,Category B
Virgin,Category B
Virgin Media,Category B
Visa,Category B
Vodafone,Category B
